都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考,FACILITYNAME,PLACEMENT,ADDRESS
262111,,京都府,京田辺市,田辺総合庁舎,タナベソウゴウチョウシャ,京田辺市田辺明田1,,34.8231442,135.7693077,府民ホール入口横,0774-62-0173,,,,,,,,,,,Kyoto Pref. Tanabe Branch Office,Entrance of the Lobby,1 Tanabe Myota Kyotanabe City
262111,,京都府,京田辺市,田辺高等学校,タナベコウトウガッコウ,京田辺市河原神谷24,,34.82071937,135.7776476,体育職員室前,0774-62-0572,,,,,,,,,,,Tanabe High School,In front of the Physical education Staff Room,24 Kawara Kamiya Kyotanabe City
262111,,京都府,京田辺市,京都府立洛南寮,キョウトフリツラクナンリョウ,京田辺市大住仲ノ谷14-1,,34.82717875,135.7463298,寮母室内,0774-62-0415,,,,,,,,,,,Nursing Home Rakunan-ryo,Manager Room,14-1 Osumi Nakanotani Kyotanabe City
262111,,京都府,京田辺市,田辺警察署,タナベケイサツショ,京田辺市興戸小モ詰1,,34.81261816,135.7717016,公かい,0774-63-0110,,,,,,,,,,,Tanabe Police Station,Entrance,1 Kodo Komozume Kyotanabe City
262111,,京都府,京田辺市,京田辺市役所,キョウタナベシヤクショ,京田辺市田辺80,,34.81443285,135.7676988,正面玄関,0774-63-1122,,,,,,,,,,,Kyotanabe City Hall,Front Entrance,80 Tanabe Kyotanabe City
262111,,京都府,京田辺市,中央公民館,チュウオウコウミンカン,京田辺市田辺丸山214,,34.81336986,135.7687708,ロビー,0774-62-2552,,,,,,,,,,,Chuo Community Center,Lobby,214 Tanabe Maruyama Kyotanabe City
262111,,京都府,京田辺市,天王公民館,テンノウザンコウミンカン,京田辺市天王下垣内48,,34.77971108,135.7375752,入り口付近,-,,,,,,,,,,,Tennozan Community Center,Around the Entrance,48 Tenno Shimogaito Kyotanabe City
262111,,京都府,京田辺市,打田公民館,ウチダコウミンカン,京田辺市打田宮本4-1,,34.75571498,135.7383571,入り口付近,-,,,,,,,,,,,Uchida Community Center,Around the Entrance,4-1 Utsuta Miyamoto Kyotanabe City
262111,,京都府,京田辺市,高船公民館,タカフネコウミンカン,京田辺市高船里57,,34.76932663,135.7325919,入り口付近,-,,,,,,,,,,,Takafune Community Center,Around the Entrance,57 Takafune Sato Kyotanabe City
262111,,京都府,京田辺市,中央図書館,チュウオウトショカン,京田辺市田辺辻40,,34.82084312,135.7674557,正面玄関付近,0774-65-2500,,,,,,,,,,,Chuo Library,Front Entrance,40 Tanabe Tsuji Kyotanabe City
262111,,京都府,京田辺市,中部住民センター,チュウブジュウミンセンター,京田辺市草内美泥22-2,,34.81886724,135.7878966,ロビー,0774-64-8810,,,,,,,,,,,Chubu Community Center,Lobby,22-2 Kusauchi Midoro Kyotanabe City
262111,,京都府,京田辺市,北部住民センター,ホクブジュウミンセンター,京田辺市大住内山1-1,,34.83559932,135.7417011,ロビー,0774-63-7955,,,,,,,,,,,Hokubu Community Center,Lobby,1-1 Osumi Uchiyama Kyotanabe City
262111,,京都府,京田辺市,リサイクルプラザ,リサイクルプラザ,京田辺市田辺茂ケ谷58,,34.80672837,135.7508822,入り口付近,0774-68-1288,,,,,,,,,,,Recycle Plaza,Around the Entrance,58 Tanabe Mogatani Kyotanabe City
262111,,京都府,京田辺市,竜王野外活動センター,リュウオウヤガイカツドウセンター,京田辺市大住竜王谷9-1,,34.82276986,135.737657,ロビー,0774-62-2816,,,,,,,,,,,Ryuo Outdoor Activity Center,Lobby,9-1 Osumi Ryuodani Kyotanabe City
262111,,京都府,京田辺市,保健センター,ホケンセンター,京田辺市田辺78,,34.81457724,135.7683925,入り口付近,0774-63-2662,,,,,,,,,,,Kyotanabe City Health Center,Around the Entrance,78 Tanabe Kyotanabe City
262111,,京都府,京田辺市,社会福祉センター,シャカイフクシセンター,京田辺市興戸犬伏5-8,,34.81302508,135.7723337,ロビー,0774-62-2222,,,,,,,,,,,Social Welfare Center,Lobby,5-8 Kodo Inubuse Kyotanabe City
262111,,京都府,京田辺市,三山木福祉会館,ミヤマギフクシカイカン,京田辺市三山木谷垣内6-1,,34.79788137,135.7795068,ロビー,0774-62-5071,,,,,,,,,,,Miyamagi Welfare Hall,Lobby,6-1 Miyamaki Tanigaito Kyotanabe City
262111,,京都府,京田辺市,常磐苑,トキワエン,京田辺市草内五ノ坪6,,34.80668271,135.7829107,正面玄関,0774-62-3643,,,,,,,,,,,Welfare Center for Elderly Tokiwaen,Front Entrance,6 Kusauchi Gonotsubo Kyotanabe City
262111,,京都府,京田辺市,宝生苑,ホウジョウエン,京田辺市大住内山7,,34.83403631,135.7407281,正面玄関,0774-68-2222,,,,,,,,,,,Welfare Center for Elderly Hojoen,Front Entrance,7 Osumi Uchiyama Kyotanabe City
262111,,京都府,京田辺市,大住幼稚園,オオスミヨウチエン,京田辺市大住池平32-4,,34.83677198,135.7414851,職員室,0774-62-7405,,,,,,,,,,,Osumi Kindergarten,Staff Room,32-4 Osumi Ikehira Kyotanabe City
262111,,京都府,京田辺市,田辺東幼稚園,タナベヒガシヨウチエン,京田辺市東西ノ口51,,34.82639234,135.7788466,職員室,0774-62-4341,,,,,,,,,,,Tanabehigashi Kindergarten,Staff Room,51 Higashi Nishinokuchi Kyotanabe City
